,vendor_id,name,open_hours,close_hours,street,city,state,email,phone_number,season_op
218,219,Hickory Haven Farmstead,12:00,16:00,1936 street ,brown,GA,farm218.contact@gmail.com,796-444-2884,"Spring, Fall"
219,220,Crimson Clover Ranch,10:00,18:00,6465 avenue ,green,NY,farm219.contact@yahoo.com,938-109-2451,"Spring, Fall"
220,221,Whispering Meadows,9:00,18:00,6436 street ,orange,GA,farm220.contact@yahoo.com,818-194-7190,Summer
221,222,Sunny Acres Farm,9:00,16:00,202 avenue ,orange,NY,farm221.contact@gmail.com,769-461-7291,"Summer, Fall"
222,223,Evergreen Valley Ranch,12:00,17:00,6155 street ,brown,GA,farm222.contact@gmail.com,525-660-6068,Fall
223,224,Peaceful Homestead,12:00,18:00,2972 avenue ,green,NJ,farm223.contact@gmail.com,268-793-5394,Spring
224,225,Serene Harvest Farm,9:00,17:00,1503 street ,red,GA,farm224.contact@gmail.com,310-407-1400,"Spring, Fall"
225,226,Joyful Fields,12:00,18:00,8122 street ,yellow,GA,farm225.contact@gmail.com,213-489-5894,Spring
226,227,Tranquil Blossom Farm,8:00,19:00,8710 avenue ,orange,NJ,farm226.contact@gmail.com,346-765-6469,"Spring, Fall"
227,228,Pleasant Pastures,8:00,16:00,8732 avenue ,blue,NY,farm227.contact@yahoo.com,586-143-6094,Summer
228,229,Oakwood Farmstead,8:00,17:00,3160 avenue ,blue,NY,farm228.contact@yahoo.com,940-862-8948,Fall
229,230,Green Haven Gardens,9:00,18:00,8907 street ,orange,NJ,farm229.contact@yahoo.com,162-137-6225,Fall
230,231,Meadowbrook Farm,8:00,19:00,1361 street ,brown,NJ,farm230.contact@gmail.com,556-440-4574,All
231,232,Cloverleaf Ranch,8:00,17:00,4113 street ,brown,NY,farm231.contact@yahoo.com,883-809-4810,Summer
232,233,Hidden Orchard Farm,12:00,19:00,4188 street ,grey,NY,farm232.contact@gmail.com,673-796-9769,Spring
233,234,Rustic Retreat Farm,9:00,18:00,6939 street ,red,GA,farm233.contact@gmail.com,129-240-2667,Spring
234,235,Gentle Breeze Ranch,8:00,19:00,526 street ,red,GA,farm234.contact@yahoo.com,942-168-8582,"Summer, Fall"
235,236,Rolling Hills Homestead,10:00,17:00,1786 avenue ,blue,GA,farm235.contact@yahoo.com,640-635-7503,"Spring, Summer, Fall"
236,237,Willow Creek Farm,12:00,19:00,2793 avenue ,yellow,GA,farm236.contact@gmail.com,379-830-2887,"Spring, Fall"
237,238,Happy Acres,12:00,16:00,1597 avenue ,grey,GA,farm237.contact@yahoo.com,745-208-8539,All
238,239,Sweetwater Farm,8:00,17:00,2002 avenue ,blue,NJ,farm238.contact@yahoo.com,794-843-1776,Spring
239,240,Sunrise Meadow Ranch,11:00,16:00,8872 street ,red,NJ,farm239.contact@yahoo.com,933-928-7060,Summer
240,241,Bluebell Gardens,11:00,17:00,7090 street ,red,NJ,farm240.contact@gmail.com,697-142-1561,"Spring, Fall"
241,242,Prairie View Farm,10:00,17:00,3060 avenue ,yellow,NJ,farm241.contact@gmail.com,577-437-2246,Spring
242,243,Morning Glory Farm,9:00,19:00,659 avenue ,green,NJ,farm242.contact@gmail.com,885-704-7074,All
243,244,Country Crossroads Farm,11:00,19:00,3803 avenue ,brown,NJ,farm243.contact@yahoo.com,662-436-3382,Fall
244,245,Whispering Woods Ranch,8:00,17:00,788 avenue ,green,NY,farm244.contact@yahoo.com,963-698-9132,"Spring, Summer, Fall"
245,246,Tranquil Valley Farm,10:00,19:00,5879 avenue ,yellow,NY,farm245.contact@gmail.com,586-488-7315,Spring
246,247,Everlasting Meadows,11:00,16:00,1151 avenue ,brown,NY,farm246.contact@gmail.com,417-711-1526,All
247,248,Sunflower Hill Farm,9:00,17:00,4127 avenue ,orange,NJ,farm247.contact@yahoo.com,142-819-5212,Spring
248,249,Stoneybrook Ranch,8:00,17:00,7993 street ,red,GA,farm248.contact@yahoo.com,592-537-8546,"Spring, Fall"
249,250,Wildflower Fields,8:00,16:00,7300 avenue ,black,NJ,farm249.contact@yahoo.com,191-840-8795,Fall
250,251,Maplewood Farmstead,12:00,19:00,1308 avenue ,blue,NY,farm250.contact@gmail.com,395-177-5504,"Summer, Fall"
251,252,Serendipity Acres,8:00,16:00,3882 avenue ,blue,NJ,farm251.contact@gmail.com,213-864-8182,Summer
252,253,Lavender Lane Farm,11:00,17:00,7379 street ,red,NY,farm252.contact@yahoo.com,720-882-6410,All
253,254,Riverside Farmstead,11:00,17:00,4844 street ,green,GA,farm253.contact@yahoo.com,862-367-3700,All
254,255,Homestead Haven,11:00,17:00,5304 avenue ,yellow,GA,farm254.contact@yahoo.com,176-994-9859,Spring
255,256,Willow Glen Gardens,10:00,16:00,549 avenue ,red,NJ,farm255.contact@gmail.com,735-348-8320,"Spring, Summer, Fall"
256,257,Amber Meadow Farm,12:00,17:00,5032 avenue ,brown,GA,farm256.contact@yahoo.com,807-374-5395,Summer
257,258,Pinecrest Ranch,9:00,18:00,6980 avenue ,green,NJ,farm257.contact@yahoo.com,240-436-1789,"Summer, Fall"
258,259,Fernwood Acres,9:00,18:00,8868 street ,blue,GA,farm258.contact@yahoo.com,248-108-3135,"Spring, Fall"
259,260,Dreamcatcher Farm,10:00,17:00,6181 street ,red,NY,farm259.contact@yahoo.com,625-209-4406,Summer
260,261,Heritage Harvest Farm,9:00,18:00,2142 avenue ,black,NJ,farm260.contact@gmail.com,386-353-6608,"Spring, Summer, Fall"
261,262,Whispering Willow Ranch,8:00,18:00,7542 avenue ,yellow,NJ,farm261.contact@yahoo.com,234-704-6316,"Summer, Fall"
262,263,Meadowview Farmstead,10:00,16:00,4614 avenue ,green,NJ,farm262.contact@yahoo.com,498-559-4480,"Summer, Fall"
263,264,Tranquil Trails Ranch,10:00,17:00,5832 avenue ,black,GA,farm263.contact@yahoo.com,960-466-4387,Fall
264,265,Sunlit Meadow Farm,12:00,16:00,320 avenue ,orange,NJ,farm264.contact@yahoo.com,486-222-8296,Spring
